Date;1492 - Sales volume index in the retail sector - Fuel and lubricants - Santa Catarina - Index;1505 - Sales volume index in the retail sector - Hypermarkets, supermarkets, food, beverages and tobacco - Santa Catarina - Index;1518 - Sales volume index in the retail sector - Textiles, clothing and footwear - Santa Catarina - Index;1531 - Sales volume index in the retail sector - Furniture and white goods - Santa Catarina - Index;1557 - Sales volume index in the retail sector - Vehicles and motorcycles, spare parts - Santa Catarina - Index
01/2000;62.52 ;56.98 ;35.91 ;33.22 ;40.83
02/2000;63.17 ;55.13 ;46.45 ;32.67 ;49.55
03/2000;62.52 ;56.01 ;44.48 ;34.80 ;53.29
04/2000;62.71 ;56.01 ;52.52 ;32.12 ;47.54
05/2000;61.22 ;52.22 ;64.76 ;39.44 ;54.92
06/2000;60.38 ;52.51 ;56.72 ;34.88 ;50.51
07/2000;57.78 ;53.97 ;56.45 ;36.85 ;55.30
08/2000;55.73 ;53.19 ;49.39 ;37.79 ;57.80
09/2000;57.59 ;54.65 ;45.02 ;34.56 ;48.21
10/2000;59.64 ;54.65 ;52.97 ;38.42 ;55.59
11/2000;57.78 ;55.13 ;56.36 ;42.99 ;53.19
12/2000;62.61 ;76.39 ;98.52 ;70.31 ;62.68
01/2001;58.06 ;59.01 ;37.96 ;39.92 ;49.84
02/2001;53.87 ;55.62 ;45.02 ;33.38 ;50.70
03/2001;60.10 ;61.34 ;44.03 ;40.39 ;64.22
04/2001;57.40 ;59.01 ;51.27 ;36.29 ;59.52
05/2001;63.27 ;53.58 ;67.44 ;42.99 ;62.11
06/2001;62.71 ;54.65 ;55.11 ;35.90 ;52.14
07/2001;61.31 ;54.16 ;49.84 ;38.11 ;52.72
08/2001;65.59 ;55.23 ;46.98 ;38.74 ;48.88
09/2001;59.64 ;54.74 ;44.84 ;34.96 ;40.54
10/2001;60.57 ;58.72 ;51.98 ;39.36 ;41.21
11/2001;60.75 ;56.69 ;52.25 ;40.70 ;41.21
12/2001;68.57 ;75.03 ;94.68 ;67.55 ;40.35
01/2002;64.75 ;56.98 ;34.92 ;38.50 ;37.19
02/2002;62.71 ;54.06 ;37.25 ;32.36 ;33.93
03/2002;65.59 ;62.41 ;40.91 ;38.50 ;37.76
04/2002;60.57 ;53.19 ;47.16 ;38.18 ;40.26
05/2002;61.59 ;56.59 ;56.81 ;42.12 ;35.75
06/2002;59.36 ;53.97 ;52.61 ;37.24 ;29.90
07/2002;70.24 ;56.30 ;51.36 ;38.66 ;33.26
08/2002;74.62 ;59.40 ;47.52 ;37.32 ;35.56
09/2002;67.92 ;53.68 ;40.55 ;33.78 ;32.40
10/2002;68.94 ;58.34 ;49.39 ;38.03 ;37.96
11/2002;72.20 ;58.14 ;50.47 ;38.58 ;31.15
12/2002;78.24 ;71.73 ;89.32 ;61.02 ;32.40
01/2003;74.24 ;56.30 ;34.30 ;34.25 ;29.81
02/2003;62.52 ;52.61 ;37.69 ;31.26 ;28.75
03/2003;66.15 ;56.01 ;39.84 ;31.96 ;29.33
04/2003;63.92 ;57.27 ;50.55 ;31.41 ;30.19
05/2003;66.52 ;56.39 ;62.34 ;37.95 ;32.49
06/2003;63.45 ;51.83 ;49.21 ;32.59 ;29.33
07/2003;70.24 ;56.10 ;50.11 ;38.11 ;31.34
08/2003;66.89 ;58.04 ;47.34 ;36.29 ;27.99
09/2003;63.08 ;55.04 ;44.03 ;40.55 ;33.93
10/2003;69.78 ;59.60 ;50.29 ;45.90 ;36.23
11/2003;72.10 ;58.72 ;52.16 ;46.21 ;34.50
12/2003;76.20 ;76.87 ;92.27 ;81.64 ;42.27
01/2004;76.85 ;64.35 ;38.85 ;45.11 ;35.08
02/2004;68.01 ;60.37 ;41.98 ;37.48 ;37.57
03/2004;77.87 ;60.28 ;46.36 ;44.64 ;45.24
04/2004;74.80 ;62.61 ;52.52 ;43.07 ;42.46
05/2004;73.96 ;59.50 ;68.15 ;52.36 ;42.17
06/2004;71.17 ;57.36 ;55.38 ;49.13 ;42.46
07/2004;76.01 ;63.09 ;52.88 ;53.85 ;44.76
08/2004;68.10 ;59.21 ;48.14 ;52.51 ;42.65
09/2004;73.96 ;60.86 ;45.37 ;48.50 ;45.43
10/2004;75.17 ;67.17 ;48.41 ;52.83 ;51.95
11/2004;72.85 ;63.58 ;52.88 ;54.32 ;51.85
12/2004;82.15 ;90.56 ;100.04 ;91.88 ;60.48
01/2005;79.27 ;70.95 ;41.44 ;50.86 ;42.46
02/2005;63.92 ;62.22 ;47.52 ;44.09 ;36.42
03/2005;65.13 ;70.08 ;51.72 ;53.06 ;41.21
04/2005;61.87 ;63.67 ;61.09 ;55.03 ;43.71
05/2005;64.38 ;63.09 ;65.56 ;61.88 ;43.42
06/2005;69.69 ;63.67 ;59.40 ;61.65 ;42.65
07/2005;67.08 ;67.36 ;64.67 ;54.32 ;40.45
08/2005;63.73 ;62.70 ;54.93 ;54.64 ;45.43
09/2005;63.17 ;64.55 ;53.77 ;52.83 ;44.86
10/2005;66.06 ;68.92 ;55.65 ;55.58 ;47.44
11/2005;65.31 ;65.91 ;60.65 ;55.11 ;47.54
12/2005;71.08 ;89.69 ;106.74 ;92.59 ;63.93
01/2006;62.34 ;69.69 ;46.18 ;51.25 ;40.45
02/2006;69.22 ;66.10 ;44.30 ;42.91 ;36.71
03/2006;72.48 ;71.05 ;48.68 ;51.25 ;49.07
04/2006;72.85 ;72.70 ;60.02 ;47.87 ;40.73
05/2006;68.85 ;66.10 ;79.40 ;60.86 ;48.31
06/2006;67.45 ;65.81 ;62.79 ;49.68 ;42.84
07/2006;65.78 ;68.53 ;61.81 ;50.54 ;48.79
08/2006;68.20 ;69.30 ;62.26 ;54.17 ;54.82
09/2006;68.29 ;73.57 ;59.58 ;53.46 ;49.46
10/2006;65.78 ;72.60 ;59.67 ;53.06 ;55.02
11/2006;70.06 ;75.32 ;63.68 ;56.53 ;51.76
12/2006;78.15 ;99.10 ;119.42 ;90.07 ;64.60
01/2007;88.20 ;79.11 ;54.75 ;56.76 ;47.25
02/2007;79.08 ;74.74 ;50.47 ;45.58 ;45.72
03/2007;79.73 ;79.40 ;55.74 ;53.85 ;57.12
04/2007;79.92 ;75.52 ;66.81 ;48.89 ;53.87
05/2007;81.78 ;73.57 ;93.07 ;59.60 ;57.12
06/2007;77.31 ;73.96 ;74.22 ;52.28 ;56.26
07/2007;79.64 ;72.89 ;70.47 ;54.87 ;59.14
08/2007;77.69 ;74.93 ;75.21 ;59.91 ;71.21
09/2007;78.90 ;75.42 ;65.56 ;55.74 ;66.42
10/2007;75.92 ;76.78 ;72.71 ;62.20 ;72.75
11/2007;82.62 ;76.68 ;76.10 ;63.77 ;73.71
12/2007;87.55 ;103.37 ;134.96 ;96.29 ;72.94
01/2008;89.87 ;81.53 ;67.35 ;66.29 ;61.25
02/2008;84.01 ;78.33 ;60.38 ;57.16 ;64.98
03/2008;81.97 ;84.45 ;64.40 ;58.26 ;72.56
04/2008;79.73 ;73.67 ;80.83 ;58.50 ;76.20
05/2008;83.45 ;77.26 ;89.77 ;65.03 ;71.69
06/2008;78.62 ;71.34 ;79.76 ;56.92 ;77.25
07/2008;82.90 ;75.22 ;72.71 ;62.75 ;80.99
08/2008;85.69 ;78.82 ;74.49 ;63.69 ;74.57
09/2008;80.76 ;75.71 ;68.95 ;62.83 ;82.14
10/2008;84.01 ;80.08 ;69.67 ;63.22 ;69.58
11/2008;80.01 ;80.17 ;66.45 ;61.88 ;53.58
12/2008;93.69 ;104.93 ;129.51 ;104.47 ;71.98
01/2009;93.50 ;86.00 ;67.61 ;67.87 ;60.86
02/2009;88.01 ;79.98 ;59.49 ;55.66 ;63.35
03/2009;92.85 ;80.76 ;63.42 ;60.39 ;79.84
04/2009;88.29 ;83.57 ;76.37 ;58.02 ;66.13
05/2009;86.99 ;80.66 ;90.93 ;67.39 ;73.99
06/2009;79.18 ;74.93 ;87.98 ;61.02 ;85.30
07/2009;78.71 ;81.15 ;79.67 ;64.56 ;71.50
08/2009;80.38 ;84.25 ;74.13 ;67.24 ;76.58
09/2009;77.59 ;82.41 ;69.94 ;68.89 ;87.80
10/2009;84.94 ;88.72 ;77.17 ;67.79 ;78.40
11/2009;84.39 ;85.51 ;76.01 ;72.20 ;77.83
12/2009;93.69 ;117.06 ;142.11 ;106.44 ;90.00
01/2010;93.97 ;92.89 ;68.78 ;71.49 ;67.76
02/2010;88.39 ;88.23 ;65.92 ;66.21 ;71.41
03/2010;97.60 ;91.92 ;75.74 ;68.10 ;101.50
04/2010;91.64 ;85.90 ;88.07 ;62.28 ;76.77
05/2010;92.67 ;84.25 ;97.18 ;71.88 ;76.68
06/2010;91.83 ;83.18 ;85.92 ;65.35 ;86.84
07/2010;90.25 ;89.98 ;90.39 ;61.02 ;87.41
08/2010;88.01 ;88.81 ;82.62 ;70.23 ;92.59
09/2010;88.57 ;88.23 ;75.21 ;68.81 ;90.67
10/2010;91.08 ;95.41 ;79.67 ;69.36 ;87.03
11/2010;90.99 ;91.14 ;81.55 ;73.85 ;93.83
12/2010;96.57 ;117.45 ;140.77 ;113.92 ;119.14
01/2011;98.71 ;97.06 ;70.56 ;78.26 ;81.66
02/2011;88.11 ;88.04 ;70.38 ;68.57 ;93.07
03/2011;97.13 ;95.32 ;76.55 ;71.01 ;99.87
04/2011;87.46 ;98.23 ;85.75 ;66.76 ;94.89
05/2011;87.36 ;86.10 ;97.98 ;75.03 ;101.79
06/2011;85.50 ;89.20 ;96.20 ;68.49 ;95.85
07/2011;93.13 ;97.94 ;90.93 ;72.04 ;98.15
08/2011;97.69 ;96.29 ;85.75 ;75.50 ;93.74
09/2011;90.06 ;96.19 ;75.12 ;74.08 ;98.82
10/2011;94.06 ;97.36 ;81.82 ;74.95 ;87.51
11/2011;94.90 ;96.77 ;82.35 ;85.97 ;92.88
12/2011;102.43 ;126.38 ;158.54 ;134.16 ;112.04
01/2012;93.50 ;107.84 ;74.13 ;91.41 ;79.74
02/2012;92.01 ;103.37 ;72.62 ;83.14 ;77.25
03/2012;98.71 ;104.34 ;81.91 ;84.32 ;96.13
04/2012;92.20 ;99.68 ;87.89 ;74.40 ;75.34
05/2012;97.41 ;91.82 ;102.90 ;87.15 ;95.75
06/2012;93.50 ;95.32 ;97.98 ;82.43 ;104.66
07/2012;97.78 ;93.38 ;95.12 ;79.91 ;99.97
08/2012;104.11 ;97.36 ;96.64 ;87.00 ;114.63
09/2012;100.29 ;99.10 ;82.44 ;77.94 ;80.22
10/2012;107.18 ;98.81 ;85.92 ;85.74 ;108.31
11/2012;92.85 ;103.76 ;88.07 ;100.85 ;100.54
12/2012;100.48 ;134.34 ;148.45 ;140.85 ;108.12
01/2013;97.88 ;109.59 ;78.42 ;93.85 ;90.67
02/2013;88.11 ;99.59 ;73.96 ;76.53 ;73.71
03/2013;97.13 ;109.20 ;90.66 ;79.44 ;90.19
04/2013;94.43 ;91.73 ;89.41 ;79.12 ;97.28
05/2013;92.76 ;96.00 ;103.16 ;89.59 ;96.61
06/2013;96.01 ;94.15 ;89.85 ;85.26 ;98.34
07/2013;102.62 ;98.33 ;99.95 ;97.00 ;99.58
08/2013;100.76 ;103.08 ;95.75 ;92.43 ;106.10
09/2013;98.25 ;98.62 ;78.06 ;86.92 ;91.73
10/2013;102.81 ;102.60 ;88.52 ;95.66 ;103.04
11/2013;99.18 ;106.28 ;94.50 ;107.15 ;105.05
12/2013;103.09 ;136.28 ;161.49 ;144.55 ;126.81
01/2014;99.09 ;112.89 ;83.33 ;112.11 ;96.52
02/2014;95.55 ;99.68 ;79.32 ;97.47 ;87.41
03/2014;97.60 ;99.20 ;87.89 ;85.11 ;94.22
04/2014;96.29 ;96.09 ;96.20 ;82.67 ;101.79
05/2014;97.60 ;95.41 ;115.04 ;96.44 ;102.56
06/2014;90.71 ;85.90 ;94.68 ;86.21 ;82.43
07/2014;100.29 ;88.62 ;97.18 ;91.17 ;99.49
08/2014;100.67 ;92.89 ;94.77 ;92.27 ;97.96
09/2014;99.27 ;87.45 ;84.05 ;91.33 ;104.66
10/2014;106.99 ;103.86 ;95.12 ;102.43 ;106.20
11/2014;104.39 ;103.66 ;98.97 ;116.28 ;100.93
12/2014;111.55 ;134.34 ;173.46 ;146.52 ;125.85
01/2015;110.34 ;111.72 ;88.07 ;111.72 ;84.44
02/2015;92.01 ;99.49 ;78.69 ;81.64 ;69.68
03/2015;102.43 ;99.88 ;86.28 ;90.07 ;80.99
04/2015;104.39 ;96.87 ;92.18 ;79.44 ;75.72
05/2015;96.39 ;92.60 ;110.04 ;88.65 ;78.12
06/2015;96.95 ;89.49 ;98.97 ;87.15 ;77.25
07/2015;100.85 ;85.32 ;95.30 ;91.56 ;82.91
08/2015;100.95 ;85.12 ;93.61 ;84.48 ;77.25
09/2015;98.15 ;83.47 ;81.01 ;84.56 ;72.75
10/2015;94.43 ;96.29 ;88.52 ;92.98 ;78.50
11/2015;92.29 ;86.48 ;94.95 ;108.73 ;77.64
12/2015;98.99 ;113.47 ;165.95 ;133.84 ;94.03
01/2016;98.43 ;94.54 ;88.52 ;83.14 ;60.29
02/2016;91.36 ;87.45 ;80.21 ;72.59 ;60.67
03/2016;93.69 ;88.43 ;86.01 ;77.31 ;71.69
04/2016;91.08 ;83.86 ;89.32 ;73.93 ;67.38
05/2016;92.29 ;81.05 ;108.43 ;89.28 ;67.09
06/2016;94.25 ;78.91 ;104.50 ;86.37 ;64.89
07/2016;93.78 ;83.18 ;95.12 ;87.23 ;70.54
08/2016;92.94 ;81.92 ;88.60 ;78.10 ;70.54
09/2016;89.69 ;85.42 ;77.08 ;75.11 ;69.01
10/2016;90.34 ;89.40 ;88.07 ;77.63 ;70.26
11/2016;91.74 ;90.37 ;93.34 ;112.98 ;72.94
12/2016;98.06 ;117.84 ;163.90 ;122.98 ;84.92
01/2017;93.31 ;107.77 ;81.67 ;91.03 ;60.37
02/2017;90.96 ;111.12 ;68.65 ;70.82 ;62.58
03/2017;103.12 ;116.31 ;84.24 ;84.03 ;76.18
04/2017;96.15 ;112.40 ;92.14 ;74.43 ;67.16
05/2017;99.64 ;96.27 ;92.81 ;91.31 ;75.55
06/2017;95.22 ;97.90 ;89.32 ;82.80 ;82.43
07/2017;99.01 ;103.56 ;89.80 ;87.85 ;82.99
08/2017;93.04 ;105.22 ;81.14 ;88.16 ;86.32
09/2017;93.47 ;106.63 ;76.51 ;80.71 ;80.29
10/2017;96.79 ;109.62 ;78.71 ;83.32 ;81.70
11/2017;95.58 ;116.30 ;90.43 ;115.16 ;89.95
12/2017;98.70 ;144.71 ;133.95 ;122.47 ;92.88
01/2018;103.35 ;130.84 ;79.74 ;95.12 ;84.46
02/2018;93.59 ;124.74 ;70.47 ;73.44 ;77.85
03/2018;103.94 ;139.62 ;81.33 ;87.83 ;96.89
04/2018;101.77 ;119.60 ;80.30 ;80.70 ;95.54
05/2018;92.01 ;113.23 ;91.73 ;79.06 ;83.68
06/2018;93.87 ;106.07 ;93.50 ;86.55 ;86.91
07/2018;102.65 ;106.30 ;91.21 ;82.08 ;91.62
08/2018;104.96 ;109.84 ;84.36 ;89.21 ;100.81
09/2018;104.40 ;111.88 ;75.19 ;82.04 ;89.89
10/2018;105.35 ;123.00 ;80.07 ;82.99 ;99.41
11/2018;108.19 ;119.11 ;98.40 ;135.37 ;96.92
12/2018;122.03 ;147.85 ;134.29 ;125.94 ;99.24
01/2019;122.63 ;138.94 ;83.55 ;99.23 ;86.37
02/2019;109.77 ;127.62 ;72.05 ;84.71 ;89.87
03/2019;115.47 ;136.21 ;80.42 ;92.59 ;94.84
04/2019;109.32 ;128.18 ;79.48 ;81.72 ;101.13
05/2019;109.42 ;124.84 ;89.86 ;92.32 ;99.22
06/2019;106.90 ;114.41 ;85.96 ;84.02 ;92.18
07/2019;112.36 ;119.81 ;93.87 ;89.17 ;109.44
08/2019;113.36 ;127.20 ;87.91 ;90.55 ;112.50
09/2019;110.74 ;124.24 ;82.47 ;88.28 ;106.98
10/2019;119.67 ;136.62 ;87.14 ;97.65 ;113.33
11/2019;116.97 ;137.48 ;103.92 ;134.17 ;114.38
12/2019;120.14 ;158.05 ;143.70 ;172.63 ;117.83
01/2020;118.16 ;140.21 ;79.20 ;105.33 ;105.91
02/2020;109.61 ;140.39 ;70.66 ;84.73 ;95.46
03/2020;94.34 ;150.34 ;46.03 ;68.77 ;68.98
04/2020;83.22 ;144.34 ;42.33 ;68.35 ;53.34
05/2020;96.30 ;148.17 ;78.87 ;107.38 ;74.65
06/2020;95.09 ;141.53 ;86.86 ;111.84 ;90.46
07/2020;98.43 ;150.10 ;90.41 ;112.80 ;102.29
08/2020;102.10 ;149.07 ;96.34 ;109.87 ;108.59
09/2020;103.20 ;142.76 ;84.73 ;111.59 ;115.14
10/2020;111.38 ;157.37 ;91.92 ;119.32 ;117.78
11/2020;107.12 ;150.07 ;103.03 ;163.93 ;118.20
12/2020;116.06 ;183.25 ;137.30 ;154.38 ;112.79
01/2021;113.24 ;145.49 ;80.38 ;106.39 ;102.16
02/2021;105.39 ;137.19 ;65.53 ;85.19 ;94.70
03/2021;99.44 ;145.69 ;66.33 ;98.36 ;114.66
04/2021;96.38 ;140.84 ;86.52 ;93.25 ;112.79
05/2021;101.42 ;142.09 ;105.93 ;90.01 ;120.27
06/2021;99.21 ;137.45 ;96.46 ;94.45 ;126.13
07/2021;109.72 ;146.76 ;99.85 ;104.39 ;141.05
08/2021;103.99 ;145.98 ;84.89 ;102.86 ;134.46
09/2021;99.83 ;142.35 ;81.05 ;85.85 ;125.59
10/2021;106.98 ;151.42 ;82.85 ;83.69 ;124.97
11/2021;109.53 ;145.55 ;98.35 ;125.61 ;141.19
12/2021;122.25 ;187.08 ;132.92 ;123.46 ;128.16
01/2022;111.82 ;147.44 ;71.42 ;95.61 ;118.03
02/2022;104.84 ;138.55 ;68.22 ;85.81 ;118.57
03/2022;112.51 ;144.76 ;79.83 ;97.11 ;137.95
04/2022;104.52 ;145.08 ;85.47 ;89.72 ;129.01
05/2022;108.04 ;138.35 ;93.90 ;92.31 ;141.13
06/2022;107.66 ;139.43 ;83.82 ;91.46 ;130.48
07/2022;132.74 ;146.30 ;78.52 ;95.67 ;136.16
08/2022;135.48 ;144.94 ;77.15 ;95.39 ;148.39
09/2022;133.97 ;144.81 ;68.64 ;87.23 ;130.21
10/2022;138.43 ;154.63 ;69.01 ;79.32 ;130.00
11/2022;128.92 ;155.12 ;81.24 ;127.42 ;138.14
12/2022;134.84 ;188.79 ;120.20 ;144.20 ;137.79
Source;IBGE;IBGE;IBGE;IBGE;IBGE
